"key","description","expl_completed","reviewed"
"cm.cm_applicant","Stores the master registry of non-Primary Dealer applicants and entities authorized to participate in bids.","True","False"
"cm.cm_applicant_mapping","Stores the mapping that links each non-Primary Dealer applicant to its Primary Dealer counterparty for bid submission and allotment.","False","True"
"cm.cm_applicant_mapping_t","Stores the transactional/history audit data of cm_applicant_mapping.","True","False"
"cm.cm_applicant_submission_group","Stores bulk applicant submission groups, linking each batch to its uploaded source document and tracking the overall maker-checker workflow status of the group.","True","False"
"cm.cm_applicant_t","Stores the transactional/history audit data of cm_applicant.","True","False"
"cm.cm_bank_master","Stores the master list of participating banks and financial institutions from MEPS+ daily bank list interface file (banks.txt).","False","True"
"cm.cm_bank_master_t","Stores the transactional/history audit data of cm_bank_master.","False","False"
"cm.cm_batch_job","Stores the master execution log for batch jobs within OMEGA, recording job parameters, execution timings, handlers, and final outcomes or exceptions.","False","False"
"cm.cm_batch_job_detail","Stores the per-record execution details of a batch job, linking the master job run to specific target records along with individual processing outcomes.","False","False"
"cm.cm_batch_job_detail_t","Stores the transactional/history audit data of cm_batch_job_detail.","False","False"
"cm.cm_batch_job_t","(Click to add)","False","False"
"cm.cm_corppass_role_map","Maps external Corppass digital service roles to internal OMEGA (Kaizen) roles to establish role-based access control.","True","False"
"cm.cm_corppass_role_map_t","Stores the transactional/history audit data of cm_corppass_role_map.","True","False"
"cm.cm_counterparty","Stores the configured profile details and operational roles of system counterparties.","True","False"
"cm.cm_counterparty_t","Stores the transactional/history audit data of cm_counterparty.","True","False"
"cm.cm_documents","Stores the S3 storage references and metadata for files processed by OMEGA.","True","False"
"cm.cm_documents_t","Stores the transactional/history audit data of cm_documents.","False","False"
"cm.cm_file_record_error","Stores per-record validation errors detected during processing of interface files or bulk file uploads, linked back to the parent file registry record.","True","False"
"cm.cm_file_record_error_t","Stores the transactional/history audit data of cm_file_record_error.","True","False"
"cm.cm_file_registry","Stores tracking records for all batch files processed by OMEGA ??? both incoming/outgoing interface feeds (MEPS+, CDP, FMBS, etc.) and user-uploaded bulk files (bid uploads, syndication placements, etc.).","False","False"
"cm.cm_file_registry_t","Stores the transactional/history audit data of cm_file_registry.","True","False"
"cm.cm_internal_role_group","Stores the master list of internal OMEGA role groups, defining the role-based permissions assignable to internal users.","True","False"
"cm.cm_internal_role_group_map","Maps each internal role group to one or more Kaizen role codes that drive the underlying system permissions.","True","False"
"cm.cm_internal_role_group_map_t","Stores the transactional/history audit data of cm_internal_role_group_map.","True","False"
"cm.cm_internal_role_group_t","Stores the transactional/history audit data of cm_internal_role_group.","True","False"
"cm.cm_master_code","Stores the master code keys/values/definitions used throughout the OMEGA application.","False","False"
"cm.cm_master_code_category","Stores the master code category headers for all master code keys under cm_master_code.","True","False"
"cm.cm_master_code_category_t","Stores the transactional/history audit data of cm_master_code_category.","True","False"
"cm.cm_master_code_t","Stores the transactional/history audit data of cm_master_code.","False","False"
"cm.cm_properties","Stores dynamic application configuration properties consumed by OMEGA microservices (Spring Cloud Config-style key-value store, scoped by application/profile/label).","False","True"
"cm.cm_properties_t","Stores the transactional/history audit data of cm_properties.","False","False"
"cm.cm_public_holiday","Stores the master list of recognized public holidays per country, used as the foundational calendar dependency for OMEGA's automated business-day shifting and issuance impact validation.","False","False"
"cm.cm_public_holiday_t","Stores the transactional/history audit data of cm_public_holiday.","False","False"
"cm.cm_report_metadata","Stores the metadata for system reports, including the template path, data source query and supported output formats used to generate each report.","True","False"
"cm.cm_report_metadata_t","Stores the transactional/history audit data of cm_report_metadata.","True","False"
"cm.cm_sectype_params","Stores the core OMEGA security-level parameters (e.g. issuance calendar generation parameters, announcement level parameters, auction/allotment parameters etc)","False","False"
"cm.cm_sectype_params_t","Stores the transactional/history audit data of cm_sectype_params.","False","False"
"cm.cm_status_map","Maps internal OMEGA status codes to the external status codes shown to specific counterparty types.","True","False"
"cm.cm_status_map_t","Stores the transactional/history audit data of cm_status_map.","True","False"
"cm.cm_subtype_params","Stores the sub-level configurations for security-type variations such as SGS Bond Market Development, Infrastructure, and Green variants.","False","False"
"cm.cm_subtype_params_t","Stores the transactional/history audit data of cm_subtype_params.","False","False"
"cm.cm_system_params","Stores OMEGA's system-wide key-value configuration parameters ??? primarily execution timings, offsets, and buffer thresholds for automated Issuance, Auction, SSB, and Syndication workflows.","False","True"
"cm.cm_system_params_t","Stores the transactional/history audit data of cm_system_params.","False","False"
